word,dialect,definition,example_runyoro,example_rutooro,related_words
choice,Runyoro-Rutooro,"rokana (ebyokulya). choke, v.tr., zingiza, miga, niga, nyoroza, fuliiteza, nigwa, zindaara. choose, v., siirna, egombooza, komamu, ekomera, etoorra, tongora, komoorra. chop, v., tematema, asa, sara, hinjura, sonjoora",,,
chongora,Runyoro-Rutooro,be ajar (of darn and water) to break the dam and escape,"akasanga amaizi geehongoire nigagera (he/she found water had broken the dam and was surging through. ebooga, kw-. okw-. v.tr., (pf. -ehoogere))",,c. form: ehoogesa
chorus,Runyoro-Rutooro,"abaanukuzi, ekigarukwamu. chosen, adj., -komere, -komerwemu",,,
christ,Runyoro-Rutooro,"Kristo. Christen, v., Batiza/",,,
christian,Runyoro-Rutooro,Omukristayo,,,
christianity,Runyoro-Rutooro,Obukristo,,,
christmas,Runyoro-Rutooro,"okuzaarwa kwa Yesu Kristo, Sikuukuru",,,
church,Runyoro-Rutooro,"ekanisa, ekeleziya. clamour, v., toka, saba",,,
churn,Runyoro-Rutooro,"ekisaabu. clamp, v., boha. churn, v., cunda",,,
cikinya,Runyoro-Rutooro,"be tidy, neat, quiet","be tidy (neat, quiet.)",,
cikinyiza,Runyoro-Rutooro,"to shake about, strew. cikya, . $ ^{1} $","to shake about (strew. cikya, ku-, oku-, v. $ ^{1} $)",,pr. form: cikiza; pass. form: cikibwa
circle,Runyoro-Rutooro,"^ garangatana. circuit, make a, ehinguJiriza, (of the sun), hikaniza ensi. clasp, fumbaatiza, bumbatira, kwataniza, bugaaniza, fumbasa, kwatiirra. circular, be, ekulingiirra",igotero,igotero,
circumspection,Runyoro-Rutooro,"okwerinda, obwegendereza. claw, 11.•ekyara, enono","dew c. akaganja keebisoro hamu n'ebinyonyi ebirukulya enyama. circumstance, ekigambo, ekinyakuloho omubwire obu. claw, v., taagura, hara, agura, toga. cite, v., ju urra, yoleka.; dew c. akaganja keebisoro hamu n'ebinyonyi ebirukulya enyama. circumstance","dew c. akaganja keebisoro hamu n'ebinyonyi ebirukulya enyama. circumstance, ekigambo, ekinyakuloho omubwire obu. claw, v., taagura, hara, agura, toga. cite, v., ju urra, yoleka.; dew c. akaganja keebisoro hamu n'ebinyonyi ebirukulya enyama. circumstance",
citizen,Runyoro-Rutooro,"omusiwensi, omunyarubuga, omuoyaihanga, ow'omurubuga, owamunuka. clay, ibumba, obudongo, inoni, enkurwa, enombe, entabo, ekirwara. clean, adj., -semiire, -semeziibwe, -rungi, -rukwera",,,
city,Runyoro-Rutooro,orubuga,,,
civet,Runyoro-Rutooro,"soorra, saaha",ekarraamuza; see sokoora,ekarraamuza; see sokoora,"sokoora, omugango, omubura"
ckangaara,Runyoro-Rutooro,"to run steadily, work vigorously, exert all one's strength","to run steadily (work vigorously, exert all one's strength)",,pr. form: ekankabuurra
ckima,Runyoro-Rutooro,to bide,,,pr. form: ekimira
ckoba,Runyoro-Rutooro,"to plot, conspire, join together for a purpose",,,pr. form: ekobera
claimant,Runyoro-Rutooro,"omutongi. chronic, 11. see enkoleko, akarandabaro, entoto. clamber.haramba, tembatemba. chubby, be,juta. clamour, 11., obwogo, etoko, saba nobwetaagwa bwingi",,,enkoleko
clan,Runyoro-Rutooro,"oruganda. cicada, 11",,,
class,Runyoro-Rutooro,"rangaaniza, bungya, rabyamu. classify, v., cooka, toora, ahuranamu. circumcise, v., sara, gongoorra, komora. clatter, v., garangatana, gogolekana",ekitebe. circulate,ekitebe. circulate,
cleariog,Runyoro-Rutooro,"ekiteme, amasinde, ekitemeerre, ekyererezi, ekisoorre. clog, v., igaarra, tanga. clearness, adj., obweru",,,
clerk,Runyoro-Rutooro,omuhandiiki,,,
cletatis,Runyoro-Rutooro,"akanyankamba. clench fist, v., bwnba entomi",,,
cleverness,Runyoro-Rutooro,"teera Enkomi. clown, 11., ekyegira, omwegingi",see kununuka,see kununuka,kununuka
climber,Runyoro-Rutooro,"omutembi. club, endwidwi","omwiigo; omwiigo, gwentul i (society), ekitebe, (recreational) okirabo. cliog, v., kwata, hambatira, ramata, gumira, ehikya, hambiirra. cluck, v., kokoroma, keekera. clip, v., sara, jaagu ra, kecura, konera clump, 11., (of trees), akabira. akasaka","omwiigo; omwiigo, gwentul i (society), ekitebe, (recreational) okirabo. cliog, v., kwata, hambatira, ramata, gumira, ehikya, hambiirra. cluck, v., kokoroma, keekera. clip, v., sara, jaagu ra, kecura, konera clump, 11., (of trees), akabira. akasaka",
clitoris,Runyoro-Rutooro,"omusino. cloak, 11., omuoagiro, omwegereko, omwenagiro. clumsy person, omutaami, ekikolyo, omujcga, ekigeja, ekingoleka, omugomba. cloak, v., sereka, sweka",ta omumabega,ta omumabega,
clock,Runyoro-Rutooro,"esaaha eya hameeza, eya hakisiika. cluster, 11., oruhagara, oruko, omwahuko. See",orunkondezo,orunkondezo,
clod,Runyoro-Rutooro,"ckitaka, entaka, ckitenekc",,,
clog,Runyoro-Rutooro,omutarabanda,,,
close,Runyoro-Rutooro,"ebumba, kwatana. cleave, v., cwamu, temamu, asa, kwatana, saramu. close, v.tr., (stop up), igara, ita",,,
clot,Runyoro-Rutooro,ekikabba ky'esagama,,,
cloud,Runyoro-Rutooro,"amagezi, -(a) amacwacwa. cloudy, adj., become, bundabunda, leetangana",,,
coast,Runyoro-Rutooro,"omusa, omugongo gw'enyanja, omutaano",omukungu,omukungu,
coat,Runyoro-Rutooro,"ekizibaho, ekooti",,,
cob,Runyoro-Rutooro,"ibeere lyekicooli, ekikonko. collar-bone, n., omugamba gw'ibega",,,
cobweb,Runyoro-Rutooro,"akateeko k'enyarnumbubi, akagutaguta",,,
coccyx,Runyoro-Rutooro,"omuhaata, enkirate",,,
cock,Runyoro-Rutooro,ecooka,zaagira; endaade,zaagira; endaade,
cockerel,Runyoro-Rutooro,"ekihohyo, ekitobera, ekicuucuru",,,
cockroach,Runyoro-Rutooro,enyenje,,,
cocoon,Runyoro-Rutooro,"akagutaguta, ekisweeko",,,
coddle,Runyoro-Rutooro,"omwani, enyaani",,,
coil,Runyoro-Rutooro,"n., ekifunjo. coil, v., zinga, -c., self, ezinga, egotagota",,,
coins,Runyoro-Rutooro,"ensimbi, efee1.3, sente",,,
cold,Runyoro-Rutooro,"embeho, obutiti, omurombe, ekitengo, amanyazi, ekihihi",,,
colic,Runyoro-Rutooro,"enjoka, ekihotoro. coal, ikara, eryanda, amanda",,,
collapse,Runyoro-Rutooro,"okubutama, kugwa. coarse, be, kapa, hima",,,
collar,Runyoro-Rutooro,ekitogi,,,
colleague,Runyoro-Rutooro,"omutaahi, omukoonyezi, ow'okora nawe, ow'omukusisaniza emirimo",,,
collection,Runyoro-Rutooro,"omurundo, ensoroo1.3, omutindo",,,
collector,Runyoro-Rutooro,"omuhooza, omusorooza, omuzinisa",,,kanyonyi
colossal,Runyoro-Rutooro,"-kooto muno, kaJeeba, c. money, omudidi. coincide, v., ingana, sisana",,,
colour,Runyoro-Rutooro,erangi,see seoya. cold,see seoya. cold,seoya
column,Runyoro-Rutooro,enyomyo,,,omusononwa
combatant,Runyoro-Rutooro,"teeraniza. come, ija",c. after; c. again,c. after; c. again,
comet,Runyoro-Rutooro,"kimuli, ekibowa omu. comfort, v., huumuza, semeza, irukiirra, lembeerra, swarura. comfortable, be, semerewa, buumura, guma, teekaana, gwagwana",,,
comforter,Runyoro-Rutooro,"omuhuumuza, omwirukirizi, omuruhuzu",,,
command,Runyoro-Rutooro,"ekiragiro. command, v., ragira, gambira, lema. commander, 11. engabwa, omukuru, omuragirizi, omulerni. commandment, adj., ekiragiro. commemorate, ijuka n'ekitiinisa ekiotu ekyabaireho. commence, tandika, baoza, caaka, toma. commencement, adj., okubaoza, okutandika, entandiko. commend, v., siima, haisaniza, nyumiza",,,
commerce,Runyoro-Rutooro,"obuguzi, obusuubuzi",,,
commission,Runyoro-Rutooro,"sobya, naga omusango",,,
committee,Runyoro-Rutooro,"teerana, irra hameeza,f sembera. communjon, okuteerana",make a c. ragaaoa,make a c. ragaaoa,
companion,Runyoro-Rutooro,"omutaabi, enganjaru, omugonzebwa. compromise self, v., etema, ikfriza kutwalirirwa",,,
company,Runyoro-Rutooro,"ibe, ekitebe, ekibanda","see ekisimba. compulsion; see ekisimba. compulsion, adj., obuhambirize, akagc: mo. compare, v., lengesaniza, sisaniza aburana, inganaioganiza, roorraaniza","see ekisimba. compulsion; see ekisimba. compulsion, adj., obuhambirize, akagc: mo. compare, v., lengesaniza, sisaniza aburana, inganaioganiza, roorraaniza",ekisimba
compensation,Runyoro-Rutooro,"obulehe, kusasura. conceit, adj., emyekuzo, emyehembo, emyebuurro, emyetuno, ikungu, obwekuniki compete, v., bakana, tangisangana, kaliitango, simbaana. conceived, be, ehemba, ehuurra, egadika, ekuza, enyumiza, etuoa. competition, okuhakana, empaka, akal iitango. conceive, ba nenda, twara enda",cwereerra; ema,cwereerra; ema,
competitor,Runyoro-Rutooro,"omubakani, omuharani complain, v., hyema",,,
complainant,Runyoro-Rutooro,"hwaho, garukira(ho), mara. complete, v.tr., hikiriza, mara, maliiriza. completely, kimu",see bu lebule,see bu lebule,bu
comrade,Runyoro-Rutooro,"ediira. conceal, v., sereka. compassion, adj., embabazi, obuganyizi",,,
concealment,Runyoro-Rutooro,"akehuguro. compel, v., gema, bambiriza, batika, bobeerra, kaokanika. concede, v., ha, lekera",c. defeat,c. defeat,
concern,Runyoro-Rutooro,"ekigambo, omusango, ensonga, kukwatwaho",,,
conclusion,Runyoro-Rutooro,"v., cwereerra, hangahanga. concord, obusing, okuteerana ahamu, omutima gumu. compound, 11., (of Kings and Chiefs), ezigati. concourse, ekitebe. compound, v., kora, taba. concubine, omuzaao, omutende, omuranga, omukazi ow'ahecru y'obuswezi obwikiriziibwe. comprehend, manya, etegereza, kenga, ecencura, habuka omurnutima, nanuka. compress, v., miga, igatira, funza. concupiscence, okwegomba okubi. concur, ikiriza",,,
concobaniza,Runyoro-Rutooro,"to be very thin and weak. concoboza, \..v.i",,,pr. form: collcobo; c. form: col; pass. form: concol
condom,Runyoro-Rutooro,"ganyi itira eriiso, (ekikorwa rundi engeso ezitasemeriire omubantu). confuse, v.jwanganiza, bugutaniza, buranganiza",,,
conduct,Runyoro-Rutooro,"engeso, enyetwaza. confused, be, soberwa, kwatwa ensoni, ejwangajwangaoiza","see emyalyamyalikya. conductor, 11. omwebembezi, omubabuzi. conductor, v., twara, Jeeta, rabya, sendekereza, ebembera, babura. confusion, 11., akambayaaya, eotabukatabuka. congratulate, v., siima, tabaarukya. coney, akame. confer, hanuura, jweka. congratulations int., weebaJe! swaga! mahyo! conference,okubanuu ra, oruhanuuro, orukurato. congregate, v., teerana, esorooza, soorrookana, goma. confess, gamba ebibi, atura, ikiriza omusango","see emyalyamyalikya. conductor, 11. omwebembezi, omubabuzi. conductor, v., twara, Jeeta, rabya, sendekereza, ebembera, babura. confusion, 11., akambayaaya, eotabukatabuka. congratulate, v., siima, tabaarukya. coney, akame. confer, hanuura, jweka. congratulations int., weebaJe! swaga! mahyo! conference,okubanuu ra, oruhanuuro, orukurato. congregate, v., teerana, esorooza, soorrookana, goma. confess, gamba ebibi, atura, ikiriza omusango",emyalyamyalikya
confidence,Runyoro-Rutooro,"obwesige, obunanuk.i. conjuring trick, n., isano. confine, v., boha, funza, tanga, sibira, bohera. connect, v., yunga, teeraniza. confinement, obunyankomo",omukono. conquer,omukono. conquer,
congregation,Runyoro-Rutooro,ekitebe,,,
conjunctivitis,Runyoro-Rutooro,"owahanjoka. conjure, v., sana, saoisa, isano. confide in, esiga, nagira ekigambo, ikiza. conjunr, n., owaamasano, omukozi owaamasano",,,
conscience,Runyoro-Rutooro,"okuteebwabo emikono (or engaro). conscious, be, manya. confiscate, v., twara, aka, ibaho, nyaga, sahura. con1lagration, oruhiira, emenge. consciousness, lose, kaba, huga",,,
conspirator,Runyoro-Rutooro,"enduupe, engobya. conspire, v., ekoba, koorraana mu kugobeza, gambirana ensita",,,
constantly,Runyoro-Rutooro,"ikaraho, ekamba, ongera, eyongera, obutaleka. consteUation, see bisuma, kakaaga. contortoneself, v., enzinga, cziringura. constipated, be, omererwa, gumirirwa, buta",kwatwa. constrain; use neg.of. turuka abeeru. contract,kwatwa. constrain; use neg.of. turuka abeeru. contract,bisuma
construction,Runyoro-Rutooro,okukora,,,
continual,Runyoro-Rutooro,"obutoosa, -(a) ebiro byona",,,
continuauy,Runyoro-Rutooro,"obutoosa, ebiro byona, obutaikya, obutalekeerra",,,
contradiction,Runyoro-Rutooro,"empaka, ohvanga, okuhakana, ebitakwatiraine",,,
control,Runyoro-Rutooro,"obulemi, obusobozi bw'okutaho emikoorre. contagious, be, tuerra. contain, v., bamu, gyamu. control, v., lema, tanga, babura",,,
controversy,Runyoro-Rutooro,"empaka, obutaikiirraniza. contaminate, v., siiga, siisikara, tokooza. convene, eta, sorooza, sorrookana, goma. contempt, gaya, nuga. contemptuous, be, omugayo, okugaya, omugayangano",see ebigene. converse; see ekiwagara. conversation,see ebigene. converse; see ekiwagara. conversation,"ebigene, ekiwagara"
convert,Runyoro-Rutooro,"orouhinduki. convert, v., hindura, foora","be converted; be converted, hinduka, hingisa. copy, v., ihaho, sisaniza, kuraalira, subiriza. convey, v., twara, rabya, etweka, hikya. cord, omuguha, ehuuzo","be converted; be converted, hinduka, hingisa. copy, v., ihaho, sisaniza, kuraalira, subiriza. convey, v., twara, rabya, etweka, hikya. cord, omuguha, ehuuzo",
convict,Runyoro-Rutooro,"omunyankomo anyakucweriirwe omusango. corduroy, ftuungu. core, entirnatima, ekiinyiina, ekikuura, egati, endugiiro. convict, v., cweramusango, omereza. cork, v., fundikira. convince, v., oaoura, hwitura",,,
convolvulus,Runyoro-Rutooro,ekiboha,ekihuubuuba,ekihuubuuba,
conya,Runyoro-Rutooro,to walk slowly (as women wearing long garments,,,pr. form: co
cook,Runyoro-Rutooro,"omwokya, omwoki. corn, engano, ebicooli, oburo, omugusa",c. under ashes; c. partly,c. under ashes; c. partly,
cooka,Runyoro-Rutooro,,"to arrange in lines or grades (put in order, show off, select)",,pass. form: cookwa
coolness,Runyoro-Rutooro,"embeho, amanyazi. corpulent, v., -nyeete, -gomokere",,,
cooma,Runyoro-Rutooro,"to be clumsy, awkward, foolish","to be clumsy (awkward, foolish)",,c. form: coomya; pass. form: coomebwa
coomera,Runyoro-Rutooro,"to rebuke, sharply, scold","to rebuke (sharply, scold)",,pass. form: coomerwa; pl: same
coop,Runyoro-Rutooro,"ekijonjoro. correct, adj., - hikire",,,
copy,Runyoro-Rutooro,"ekisisani, akookuroorraaho",,,
cork,Runyoro-Rutooro,"omupiira, ekifundikizo",,,
corner,Runyoro-Rutooro,"akarugu, eodugu, akakuma, akaisokondo",,,akatanta
coronation,Runyoro-Rutooro,"okujwekwa ekondo. cooking-stone, n., ihiga",,,
corpse,Runyoro-Rutooro,"omutumbi, omufu",see ekihima,see ekihima,"amabeho, ekihima"
correspondence,Runyoro-Rutooro,"moma, bungwa. copulate, see cugana, emya, siija, gobeka, gosa, tura. corrugated iron, n., amabbaati. corrupt, adj., -siisire",,,cugana
corruption,Runyoro-Rutooro,"okujunda, obusiisikazi","costs at law; costs at law, ebitebe. court, (in marriage), ogereza, jumbira. cost, v., gura, twara, balirra omubendo. court, 11, abomu kikaali, (c.of justice), orukurato","costs at law; costs at law, ebitebe. court, (in marriage), ogereza, jumbira. cost, v., gura, twara, balirra omubendo. court, 11, abomu kikaali, (c.of justice), orukurato",
cot,Runyoro-Rutooro,"akatabu k'enkcrembe. courtesy, 11. embabazi, amakune",,,
cottage,Runyoro-Rutooro,"akaju kokuraramu. courtier, adj., omitabazi, omugaragara",,,
cotton,Runyoro-Rutooro,"pamba, ewaaro",,,
cough,Runyoro-Rutooro,"enkoorro. cough, v., koorra, kohora",,,
council,Runyoro-Rutooro,kaita,igara; fire,igara; fire,
countless,Runyoro-Rutooro,"ekitabarwa, obuhumbe. cow, n., ente",country man; ow'omwihanga. coward,country man; ow'omwihanga. coward,
country,Runyoro-Rutooro,"ekyaro, amapooli",,,
county,Runyoro-Rutooro,isaza,,,
courier,Runyoro-Rutooro,"matalisi, oroukwenda, cntumwa, omuleesi w'ebbamha",,,
cover,Runyoro-Rutooro,"ekyesweko, ekifundikizo, enzindaaro, omuhiihi",,,
cowrie,Runyoro-Rutooro,ensimbi,,,
crab,Runyoro-Rutooro,"ekiwakonga, ekiwagara, ekinyamagaga. courage, adj., obumanzi. couragee>us, be, ba manzi, guma",,,
crack,Runyoro-Rutooro,"abya, asa crackle, bugwna, aka, babuka, mckuka",,,
crackling,Runyoro-Rutooro,"bugubugu. craft (cunning), adv., obugobya, amacwacwa, amagezi, amalyo, obuduupe, obwehangihangi crafty person, n., eogobya, encwangya, omwehangihangi crafty, be, cwangya",,,
cram,Runyoro-Rutooro,"baka, ijuliza kimu, tiiihiika",,,
cramp,Runyoro-Rutooro,ekizigambogo,,,
crane,Runyoro-Rutooro,"enruuha. crane, v., (the neck), tungura ebikya. crash, v., (of thunder), hinda",koonoka; see kukura. craziness,koonoka; see kukura. craziness,kukura
cream,Runyoro-Rutooro,"orukoko rwamata, omwisi crazy, become, gwa iraro, hunguutuka",see bambaara. creak,see bambaara. creak,bambaara
crease,Runyoro-Rutooro,"kuba omugonya. create, v., hanga. creation, 11. obubangka, okuhangka. creator, n., omuhangi",ruhanga,ruhanga,
creed,Runyoro-Rutooro,enyikiriza,,,
creek,Runyoro-Rutooro,"n., omutwe, akatwetwe, (of bird), orusunsu, orusuura, orutunda",,,
creruka,Runyoro-Rutooro,"to eat by oneself, (greed). eriisa, kw-, okw-, v. rejl","to become pale. eri (dem. for nouns in cl.5, for things which are in mind. lhano nk'eri toligambira muntu, it is not good to tell a shameful thing like that to someone)",,
crime,Runyoro-Rutooro,"ekibi, omusango",,,
criminal,Runyoro-Rutooro,"omubi, omwisi, omusuma. cringe, v., ebundaaza",,,
cripple,Runyoro-Rutooro,"omulema, ekirema, endcma, ekizingo. crippled, v., be, ramara, zingama",,,
crisis,Runyoro-Rutooro,"empiko, obwire bw'akabi",,,
critic,Runyoro-Rutooro,"omukebezi, omudiida. criticize, v., diida, etegereza, kebera, dibya. croak, v., ana nk'ekikere, goroma",,,
crock,Runyoro-Rutooro,"oruguhyo. crockery, adj., ebiibumba, ebibumbirwe",,,
crocodile,Runyoro-Rutooro,"ensambya, empyo. crooked, become, ramara, tema, huga, kyama, bbaama. crookedness",,,
crookedness,Runyoro-Rutooro,"obulema, okuramara, obubbaami",,,
crop,Runyoro-Rutooro,"omwaka, endere",kona cropped,kona cropped,
cross,Runyoro-Rutooro,ambuka,road; hands on shoulders,road; hands on shoulders,
crow,Runyoro-Rutooro,"ekingoora, ekyegoora. crow, v., kooka. crowd, adj., ekitebe, ekihanda, enlruyanja, ekyetindo, enlrumbititi, akaseebo, obuhumbe, ekizizi, omugurumbuko. crowd, etinda, ecoka, esomba, letangana, etuuma",becrowded. funda,becrowded. funda,
crumb,Runyoro-Rutooro,"saasanguka, (of house), gwa. crumble, v.tr., cwacwana, sasaangura, zigisiirra. crumbly, be, kuumuuka. crumple, v., funyafunya, binyahinya, zingazinga, funyika",be c.up,be c.up,
crush,Runyoro-Rutooro,"obufunda, akafundirikano. crush, v., ata, sekura, miga, funza, bcrengura, atangura, togonyora, kanjaiga, ceba, concona, honda, cwacwana",,,
crust,Runyoro-Rutooro,"orukoko, ekikoko",,,
crutch,Runyoro-Rutooro,"omwigo, eky'okwecumbagiza. cry, v., eboroogo, okurra. cry, v., rra, cura, kunga, taaga, gegeoa, horonga",c. aloud; see sera,c. aloud; see sera,sera
cseemura,Runyoro-Rutooro,to sneeze,"pl:fo1111 (eseemuurra, kw-, okw-, (pf. -eseemuliire))",,c. form: eseemuza
csegya,Runyoro-Rutooro,"to move off. esekesa, kw-, okw-, v.reji","to move off. esekesa (kw-, okw-, v.reji., (pf. -esekeseze))",,pr. form: esengiitira
ctaho,Runyoro-Rutooro,"to mind, attend to, take trouble over","to mind (attend to, take trouble over)",,pr. form: eteerailo; c. form: kamisa; pass. form: kamwa; pl: bantl
cuckoo,Runyoro-Rutooro,"ekiisamutuutu, entutumi",,,
cucuka,Runyoro-Rutooro,"to lose luster, fade, become rough","to lose luster (fade, become rough)",,c. form: cucukya; pass. form: c
cud,Runyoro-Rutooro,"obwekuuma, chew the cud, ekuuma",gaarra obwekuuma,gaarra obwekuuma,
cugura,Runyoro-Rutooro,,"to have diarrhoea (c. esamaga, have dysentery)",,pr. form: c; c. form: c
cukumuka,Runyoro-Rutooro,"to fall in a mass, pelt (rain",to fall in a mass (pelt (rain)),,pass. form: c
cukuuko,Runyoro-Rutooro,"to be discarded. cukuura, .lr","to be discarded. cukuura (ku-, oku-, v.lr.. (pf. -cukwire))",,
culecra,Runyoro-Rutooro,"to be quiet, modest, humble","to be quiet (modest, humble)",,c. form: c; pass. form: c
cullikana,Runyoro-Rutooro,to over lap,"a (ku-, oku- (pf. -culiikaniize))",,pr. form: cumangira; pass. form: cumangwa
cultivation,Runyoro-Rutooro,obulimi,,,
cultivator,Runyoro-Rutooro,"omulimi. cunning, be, ba w'amacwacwa, ba w'amagezi, ncwaogya",,,
cumanganiza,Runyoro-Rutooro,to refuse,"pass of c. fonn (c11111a11gal1izibwa, ku-, oku-, (pf. -<:wnanganiziibwe). cumba, ku-, oku-, v.lr., (pf. -<:umbire))",,pr. form: cumbira; c. form: cumbisa; pass. form: cumbwa
cumiikiirra,Runyoro-Rutooro,to give an inJialation or herbal steam bath,"p1: form (cumiikiriirra, ku-, oku-, (pf. -cumiikiririire))",,c. form: cumisa; pass. form: cumiikiriirwa
cumya,Runyoro-Rutooro,to dip or take food (mainly cooked plantains) with a liule salt or pepper ground together with salt,,,
cuncubira,Runyoro-Rutooro,of a baby to go to sleep,,,
cuncubiza,Runyoro-Rutooro,"to pat, soothe to sleep, hush","to pat (soothe to sleep, hush)",,pr. form: c
cuncumuka,Runyoro-Rutooro,"to be driven away, run away",to be driven away (run away),,pr. form: cuncumukira
cuncumura,Runyoro-Rutooro,"to drive away, scare away",to drive away (scare away),,pr. form: cundira; c. form: cw; pass. form: cu
