word,dialect,definition,example_runyoro,example_rutooro,related_words
titira,Runyoro-Rutooro,"shake with cold, shiver",p1: form; to shake with cold,p1: form; to shake with cold,
tobera,Runyoro-Rutooro,sink in mire,pr. form; aban/11 bakira muno kutobeerra omubisaaru ebirumu ama/ehe,pr. form; aban/11 bakira muno kutobeerra omubisaaru ebirumu ama/ehe,below
tobeza,Runyoro-Rutooro,put millet Hour into boiling water when starting to stir (cook) millet (oburo,"obu yasa angire amazire irakut beza enyungu yamuleka yahotoorra kimu; obu yasa angire amazire irakut beza enyungu yamuleka yahotoorra kimu, when she found that she had already put millet in the boiling water, she let her continue with the cooking","obu yasa angire amazire irakut beza enyungu yamuleka yahotoorra kimu; obu yasa angire amazire irakut beza enyungu yamuleka yahotoorra kimu, when she found that she had already put millet in the boiling water, she let her continue with the cooking",
toboka,Runyoro-Rutooro,"speak irrationally, talk randomly",,,
togatoga,Runyoro-Rutooro,walk about naked,c.form,c.form,
togolekwa,Runyoro-Rutooro,speak incoherently,pass. form; omuntu atogo/ekwa obu aba naabaza ebitarula11eerana hamu,pass. form; omuntu atogo/ekwa obu aba naabaza ebitarula11eerana hamu,
togonyora,Runyoro-Rutooro,"crush, squash",pass. form; to crush,pass. form; to crush,
togota,Runyoro-Rutooro,bubble (when boiling,ebyokulya ob11 baba nibabicumba bikatandika kutogota buli biri haihi kuhya,ebyokulya ob11 baba nibabicumba bikatandika kutogota buli biri haihi kuhya,
toha,Runyoro-Rutooro,"grow thin and weak, look mournful","to grow thin and weak, look mournful.; to grow thin and weak","to grow thin and weak, look mournful.; to grow thin and weak",
toibya,Runyoro-Rutooro,be on heat (female dogs,"pr. form; pr. form, toiheza, ku-, oku-, (pf. -toibiize)","pr. form; pr. form, toiheza, ku-, oku-, (pf. -toibiize)",
toka,Runyoro-Rutooro,"shout, benoisy",pr.form; to shout,pr.form; to shout,
tokeerra,Runyoro-Rutooro,"abagizansoni obu baba nibalya abantu tibabatokeerra, no noise should be made by other people when in-laws are eating",,,
toko,Runyoro-Rutooro,"toko, e-, 11. cl., loud talking, shouting, clamour",,,
tokolekana,Runyoro-Rutooro,"make any loud, indistinct noise, brawl, shout, screech",to make any loud; c.form,to make any loud; c.form,
tokoma,Runyoro-Rutooro,"perish, disappear, be destroyed completely",pr. form; to perish,pr. form; to perish,below
tokomera,Runyoro-Rutooro,oftokoma (r tokomiire,"c.Jo: tokomeza; bubble with beat (as bo: water), ebyok11lya bitokomera obu nibabicumba bifimdikiiziibwe einbuh food with water bubbles wben cooked. 'apot covered with banana leaves","c.Jo: tokomeza; bubble with beat (as bo: water), ebyok11lya bitokomera obu nibabicumba bifimdikiiziibwe einbuh food with water bubbles wben cooked. 'apot covered with banana leaves",
tokomoka,Runyoro-Rutooro,"to make noise that will disturb one, disappear from sight","pr. fonn; pr. fonn, tokomokera, ku-, oku- (pf. tokomokiire)","pr. fonn; pr. fonn, tokomokera, ku-, oku- (pf. tokomokiire)",
tokoora,Runyoro-Rutooro,& vtr,to get a foreign body or take out from (eye; pr. form,to get a foreign body or take out from (eye; pr. form,
toma,Runyoro-Rutooro,begin,t. enyamaiswa; pass. fo rm,t. enyamaiswa; pass. fo rm,
tomera,Runyoro-Rutooro,"charge into, knock against accidentally",akatomera ekisiika omumwirima naagya kubyama; to charge into,akatomera ekisiika omumwirima naagya kubyama; to charge into,
tona,Runyoro-Rutooro,be spotted,"entajumba ina ebyoya bilonere, a guinea-fowl has spotted feathers.; entajumba ina ebyoya bilonere","entajumba ina ebyoya bilonere, a guinea-fowl has spotted feathers.; entajumba ina ebyoya bilonere",
tonda,Runyoro-Rutooro,"identify, establish identity of,recognize",to identify; disown,to identify; disown,
tondera,Runyoro-Rutooro,"explain, tell all",to explain; abantu abandi tibeetaaga kubatondera ebikorwa by'abanyabuzaale baabo ebibi,to explain; abantu abandi tibeetaaga kubatondera ebikorwa by'abanyabuzaale baabo ebibi,
tondogoorra,Runyoro-Rutooro,tf,to finish up; oburo obwasigaire omumusiri butagesirwe babllfondogoroiremu bwona bwalrwamu,to finish up; oburo obwasigaire omumusiri butagesirwe babllfondogoroiremu bwona bwalrwamu,
tondooka,Runyoro-Rutooro,"split open (beans, peas), ebihimba obu byoma muno bitondooka, when beans get to dry they split",pr. fonn; split open (beans,pr. fonn; split open (beans,
tondoora,Runyoro-Rutooro,"to shell, peel, remove husks, split open, unpod",pr. form; tondoora enono,pr. form; tondoora enono,
tondoozu,Runyoro-Rutooro,"separate from, select, distinguish between",to separate from; uwe tatondoozu,to separate from; uwe tatondoozu,
